transcription_factor	supplied_split	bin_index	bin_left	bin_right	row_count
Ubx	test	8	0.16	0.18	988
Ubx	test	9	0.18	0.2	1210
Ubx	test	10	0.2	0.22	1100
Ubx	test	11	0.22	0.24	922
Ubx	test	12	0.24	0.26	624
Ubx	test	13	0.26	0.28	526
Ubx	test	14	0.28	0.3	413
Ubx	test	15	0.3	0.32	354
Ubx	test	16	0.32	0.34	279
Ubx	test	17	0.34	0.36	279
Ubx	test	18	0.36	0.38	170
Ubx	test	19	0.38	0.4	140
Ubx	test	20	0.4	0.42	98
Ubx	test	21	0.42	0.44	106
Ubx	test	22	0.44	0.46	89
Ubx	test	23	0.46	0.48	85
Ubx	test	24	0.48	0.5	63
Ubx	test	25	0.5	0.52	49
Ubx	test	26	0.52	0.54	52
Ubx	test	27	0.54	0.56	33
Ubx	test	28	0.56	0.58	28
Ubx	test	29	0.58	0.6	31
Ubx	test	30	0.6	0.62	17
Ubx	test	31	0.62	0.64	21
Ubx	test	32	0.64	0.66	12
Ubx	test	33	0.66	0.68	20
Ubx	test	34	0.68	0.7	12
Ubx	test	35	0.7	0.72	5
Ubx	test	36	0.72	0.74	8
Ubx	test	37	0.74	0.76	2
Ubx	test	38	0.76	0.78	8
Ubx	test	39	0.78	0.8	0
Ubx	test	40	0.8	0.82	1
Ubx	test	41	0.82	0.84	2
Ubx	test	42	0.84	0.86	1
Ubx	test	43	0.86	0.88	2
Ubx	test	44	0.88	0.9	0
Ubx	test	45	0.9	0.92	0
Ubx	test	46	0.92	0.94	0
Ubx	test	47	0.94	0.96	2
Ubx	test	48	0.96	0.98	0
Ubx	test	49	0.98	1	1
