transcription_factor	split	bin_index	bin_left	bin_right	logical_example_count
Ubx	validation	39	0.78	0.8	2
Ubx	validation	40	0.8	0.82	2
Ubx	validation	41	0.82	0.84	3
Ubx	validation	42	0.84	0.86	1
Ubx	validation	43	0.86	0.88	0
Ubx	validation	44	0.88	0.9	1
Ubx	validation	45	0.9	0.92	2
Ubx	validation	46	0.92	0.94	0
Ubx	validation	47	0.94	0.96	1
Ubx	validation	48	0.96	0.98	1
Ubx	validation	49	0.98	1	1
