seed,ridge_test_r2,ridge_test_pearson,ridge_test_rmse,ridge_best_alpha,ridge_best_val_r2,tx_test_r2,tx_test_pearson,tx_test_rmse
0,0.8001762628555298,0.8945947514798835,0.09456317126750946,10.0,0.7628716230392456,0.7931932210922241,0.901251378682176,0.09620128571987152
1,0.7887754440307617,0.888404039144278,0.09977084398269653,0.1,0.7899050116539001,0.8339263200759888,0.9207162816199799,0.08846711367368698
2,0.7751482725143433,0.8804273320713393,0.10275508463382721,10.0,0.7544113993644714,0.7934543490409851,0.9043957390142751,0.09848345071077347
3,0.7910506725311279,0.8899164444009402,0.09525194764137268,0.1,0.7808246612548828,0.8091222643852234,0.9100411431209816,0.09103973954916
4,0.7914943695068359,0.8899344398636806,0.09672264754772186,1.0,0.7806951999664307,0.8099769949913025,0.914123172766433,0.0923362746834755
