y_true,pred_ridge,pred_transformer
4.237845420837402,4.222752571105957,4.280630111694336
3.8903093338012695,3.9845118522644043,4.016445636749268
3.7026889324188232,3.8226394653320312,3.697613000869751
3.989004611968994,3.9484472274780273,3.9367012977600098
3.974787950515747,4.059274673461914,4.0331244468688965
4.525459289550781,4.379363059997559,4.551394939422607
3.9302356243133545,3.837024688720703,4.064217567443848
4.097708225250244,4.171514987945557,4.2063493728637695
4.318272113800049,4.220398426055908,4.141329288482666
4.190863609313965,4.181448459625244,4.06156063079834
3.898231267929077,3.977023124694824,3.9534668922424316
4.113207817077637,4.043768882751465,4.029182434082031
4.465665340423584,4.407419681549072,4.4076337814331055
4.544799327850342,4.441253662109375,4.172641754150391
4.4167070388793945,4.30873966217041,4.211876392364502
3.8296897411346436,3.8780717849731445,3.8394062519073486
3.930999994277954,3.8478102684020996,3.5837080478668213
4.341434478759766,4.344084739685059,4.412204265594482
3.958420515060425,3.6418936252593994,3.691696882247925
3.9176104068756104,3.6302590370178223,3.62727427482605
3.9803216457366943,4.064407825469971,3.9932780265808105
3.8993825912475586,4.039313316345215,4.089584827423096
4.47113037109375,4.440805912017822,4.508910655975342
4.088065147399902,4.079192161560059,4.076021671295166
4.10202169418335,4.105513572692871,4.098407745361328
3.9503161907196045,3.9717979431152344,3.9222590923309326
3.958181381225586,3.8333027362823486,4.053754806518555
3.826463460922241,4.00607442855835,3.8105196952819824
4.492718696594238,4.37939977645874,4.476140975952148
3.8935399055480957,3.850884437561035,3.960043430328369
3.8804705142974854,3.867116689682007,3.817864179611206
4.116972923278809,4.0301289558410645,3.9196105003356934
3.9628899097442627,3.936798572540283,3.9412918090820312
3.9856510162353516,4.047483921051025,4.096337795257568
4.063783645629883,4.169821262359619,4.018398761749268
4.039334774017334,4.062021732330322,4.102546691894531
3.878521680831909,3.846397876739502,3.9924724102020264
4.518316268920898,4.4222517013549805,4.573233604431152
4.200658798217773,4.193630695343018,4.17893648147583
3.966657876968384,4.047569274902344,4.013176441192627
3.851991653442383,3.9436826705932617,3.9329745769500732
4.0044074058532715,4.217767238616943,3.9007771015167236
4.498448371887207,4.407366752624512,4.480838775634766
3.793161630630493,3.927673578262329,3.835315704345703
4.022098064422607,4.160048007965088,4.086812496185303
4.009450912475586,3.888810634613037,4.0782904624938965
4.075875282287598,4.024349689483643,3.9820332527160645
4.4933881759643555,4.407075881958008,4.542055130004883
3.9234511852264404,3.975048542022705,3.9092824459075928
4.327175140380859,4.275777339935303,4.310559272766113
3.9613735675811768,4.0248823165893555,3.8804068565368652
3.9137609004974365,4.053638458251953,4.052393913269043
4.03265905380249,4.26102352142334,3.998325824737549
4.314309597015381,4.341555118560791,4.273414611816406
4.044265270233154,4.081310749053955,3.9101266860961914
3.748807907104492,3.781222343444824,3.78956937789917
4.492802143096924,4.434787750244141,4.458683013916016
3.925466775894165,3.969608783721924,3.8337478637695312
3.9540493488311768,3.995738983154297,3.886671543121338
3.9986515045166016,3.966726779937744,3.909986734390259
4.005180358886719,3.992295026779175,3.9970123767852783
3.9586594104766846,3.9161548614501953,3.819918155670166
3.929776430130005,4.153863430023193,3.604771852493286
4.177853584289551,4.166288375854492,4.059558391571045
4.280373573303223,4.2322258949279785,4.3368239402771
4.333306312561035,4.29227352142334,4.370084285736084
4.271306991577148,4.1451616287231445,4.2780256271362305
3.864807605743408,3.959146499633789,3.8195433616638184
3.950023889541626,3.864335536956787,4.000008583068848
4.336919784545898,4.328421115875244,4.370641231536865
4.406045913696289,4.4329447746276855,4.524247169494629
3.7638022899627686,3.9544992446899414,3.8803465366363525
4.114177227020264,4.114145755767822,3.918943405151367
4.368956089019775,4.285835266113281,4.405575752258301
3.9321184158325195,3.838242769241333,4.054990291595459
4.6715803146362305,4.378826141357422,4.536831855773926
4.053731441497803,4.15181827545166,3.9708681106567383
4.002209186553955,3.887894630432129,3.979590892791748
3.880927801132202,3.851242780685425,3.913243293762207
4.019656181335449,4.023344039916992,3.8919363021850586
3.8454701900482178,3.807610273361206,3.823549509048462
4.443153381347656,4.405473709106445,4.324615478515625
4.085326194763184,4.173845291137695,4.062492847442627
4.2932963371276855,4.221079349517822,4.3366498947143555
3.872039556503296,3.88531494140625,3.9752399921417236
4.116906642913818,4.14219331741333,4.128406524658203
